,Job title,Type of position,Job Location,Job description,Working type,Contact,Achievements,Base salary,Equity
19,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
20,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
21,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
22,Senior Backend Engineer,Full-time,"Singapore, Singapore, Singapore",https://apply.workable.com/j/5E2FE294C8,Engineering,talentre,Null,Not Posted,Not Posted
23,"Senior Software Engineer, Frontend",Full-time,Boston - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6508024002,Engineering,talentre,Null,Not Posted,Not Posted
24,"Director, Customer Success, EMEA",Full-time,Dublin - will also consider remote in IE,https://boards.greenhouse.io/circle/jobs/6549768002,Others,talentre,Null,Not Posted,Not Posted
25,"Director, Customer Success, EMEA",Full-time,Dublin - will also consider remote in IE,https://boards.greenhouse.io/circle/jobs/6549768002,Others,talentre,Null,Not Posted,Not Posted
26,Lead of People Operations,Full-time,"Hong Kong, HK",https://hk.linkedin.com/jobs/view/lead-of-people-operations-at-amber-group-3405065277,Finance,talentre,Null,Not Posted,Not Posted
27,Sr. Software Engineer (BDN Foundation),Full-time,"United States, US",https://www.linkedin.com/jobs/view/sr-software-engineer-bdn-foundation-at-bloxroute-labs-3401758731,Engineering,talentre,Null,Not Posted,Not Posted
28,Global Director of Strategic Partnerships,Full-time,Remote,https://boards.greenhouse.io/parity/jobs/5245199003,Others,talentre,Null,Not Posted,Not Posted
29,Software Engineering Team Leader (BDN Foundation),Full-time,"United States, US",https://www.linkedin.com/jobs/view/software-engineering-team-leader-bdn-foundation-at-bloxroute-labs-3401760573,Engineering,talentre,Null,Not Posted,Not Posted
30,Senior UI/UX Designer,Full-time,Warsaw,https://boards.greenhouse.io/woonetwork/jobs/5433803003,Finance,talentre,Null,Not Posted,Not Posted
31,Sr. Software Engineer (BDN Foundation),Full-time,"United States, US",https://www.linkedin.com/jobs/view/sr-software-engineer-bdn-foundation-at-bloxroute-labs-3401758731,Engineering,talentre,Null,Not Posted,Not Posted
32,UXUI Product Designer,Full-time,"San Mateo, CA, US",https://www.linkedin.com/jobs/view/uxui-product-designer-at-falconx-3356896124,Others,talentre,Null,Not Posted,Not Posted
33,Business Development Manager (Korea/Vietnam/Russia/Nigeria),Full-time,"Vietnam, VN",https://vn.linkedin.com/jobs/view/business-development-manager-korea-vietnam-russia-nigeria-at-bitmart-3401770738,Others,talentre,Null,Not Posted,Not Posted
34,Blockchain Developer,Full-time,"Buenos Aires, Argentina",https://securitize.bamboohr.com/jobs/view/98,Engineering,talentre,Null,Not Posted,Not Posted
35,Data Team Lead ,Full-time,"EMEA - Remote, UNITED STATES - Remote",https://consensys.net/open-roles/gh_jid?gh_jid=4620475,Others,talentre,Null,Not Posted,Not Posted
36,Community and Social Media Specialist (Vietnam),Full-time,"Vietnam, VN",https://vn.linkedin.com/jobs/view/community-and-social-media-specialist-vietnam-at-bitmart-3401773273,Others,talentre,Null,Not Posted,Not Posted
37,Software Engineering Team Leader (BDN Foundation),Full-time,"United States, US",https://www.linkedin.com/jobs/view/software-engineering-team-leader-bdn-foundation-at-bloxroute-labs-3401760573,Engineering,talentre,Null,Not Posted,Not Posted
38,Head of Distribution,Full-time,"New York, NY, United States",https://securitize.bamboohr.com/jobs/view/103,Others,talentre,Null,Not Posted,Not Posted
39,Country Lead,Full-time,", , El Salvador",https://apply.workable.com/j/35AD826828,Others,talentre,Null,Not Posted,Not Posted
40,AML Manager,Full-time,"Buenos Aires, Buenos Aires, Argentina",https://apply.workable.com/j/CC6D5A0C11,Others,talentre,Null,Not Posted,Not Posted
41,Business Operations Intern,Internship,"New York City Metropolitan Area, US",https://www.linkedin.com/jobs/view/business-operations-intern-at-bitmart-3392145963,Others,talentre,Null,Not Posted,Not Posted
42,Fullstack Engineer (MetaMask Grants),Full-time,"CANADA - Remote, EMEA - Remote, UNITED STATES - Remote",https://consensys.net/open-roles/gh_jid?gh_jid=4749993,Engineering,talentre,Null,Not Posted,Not Posted
43,NodeJS Backend Engineer (API Platform) - MetaMask,Full-time,"CANADA - Remote, LATAM - Remote, UNITED STATES - Remote",https://consensys.net/open-roles/gh_jid?gh_jid=4750011,Engineering,talentre,Null,Not Posted,Not Posted
44,"Product Manager, Transfer Agent",Full-time,"New York, NY, United States",https://securitize.bamboohr.com/jobs/view/102,Others,talentre,Null,Not Posted,Not Posted
45,Executive Associate,Full-time,Toronto,https://boards.greenhouse.io/chainsafesystems/jobs/4754220004,Others,talentre,Null,Not Posted,Not Posted
46,Law Clerk (Temp),Full-time,United States (Remote),https://boards.greenhouse.io/blockdaemon/jobs/4753373004,Others,talentre,Null,Not Posted,Not Posted
47,Compliance Analyst,Full-time,", , Argentina",https://apply.workable.com/j/54778555C5,Others,talentre,Null,Not Posted,Not Posted
48,Accounts Payable Manager,Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4147684005,Others,talentre,Null,Not Posted,Not Posted
49,Customer Service Representative (Botswana),Full-time,"Africa, Botswana",https://yellowcard.bamboohr.com/jobs/view/182,Others,talentre,Null,Not Posted,Not Posted
50,Technical Product Lead - Sygma,Full-time,Remote,https://boards.greenhouse.io/chainsafesystems/jobs/4749028004,Others,talentre,Null,Not Posted,Not Posted
51,Software Engineer (Application Security),Full-time,"CANADA - Remote, EMEA - Remote, UNITED STATES - Remote",https://consensys.net/open-roles/gh_jid?gh_jid=4739118,Engineering,talentre,Null,Not Posted,Not Posted
52,"Compliance Officer, BVI",Full-time,British Virgin Islands,https://boards.greenhouse.io/coinlist/jobs/6523696002,Others,talentre,Null,Not Posted,Not Posted
53,Business Analyst (Cebu/Manila),Full-time,,https://www.careers-page.com/archax/job/L4R9YYW5,Finance,talentre,Null,Not Posted,Not Posted
54,"Senior Accounting Manager, Investments & Digital Assets",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6500800002,Others,talentre,Null,Not Posted,Not Posted
55,Senior Software Engineer- PHP,Full-time,Hyderabad,https://jobs.lever.co/Kyro/179783fb-50c0-49eb-ac97-ebe94eb38ed0,Engineering,talentre,Null,Not Posted,Not Posted
56,Motion Graphic Designer/Video Editor,Full-time,US / Remote,https://jobs.lever.co/certik/4b376c99-41d0-4c96-8884-cd3895e9e223,Others,talentre,Null,Not Posted,Not Posted
57,"Business Development Manager, Web3",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6498687002,Others,talentre,Null,Not Posted,Not Posted
58,Finance Manager,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/finance-manager-at-falconx-3417462299,Others,talentre,Null,Not Posted,Not Posted
59,"Business Development Manager（Europe, Remote)",Full-time,"Jersey City, NJ, US",https://www.linkedin.com/jobs/view/business-development-manager%EF%BC%88europe-remote-at-bitmart-3401876232,Others,talentre,Null,Not Posted,Not Posted
60,Senior Software Engineer,Full-time,"London, New York",https://boards.greenhouse.io/firefly/jobs/4735737004,Engineering,talentre,Null,Not Posted,Not Posted
61,"Senior Software Engineer, Frontend",Full-time,Boston - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6508024002,Engineering,talentre,Null,Not Posted,Not Posted
62,"Senior Software Engineer, Frontend",Full-time,Boston - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6508024002,Engineering,talentre,Null,Not Posted,Not Posted
63,Data Analyst,Full-time,,https://deversifi.com/open_positions/data_analyst/,Others,talentre,Null,Not Posted,Not Posted
64,Senior QA - Manual Tester,Full-time,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://apply.workable.com/j/771A1B46C8,Engineering,talentre,Null,Not Posted,Not Posted
65,"Product Lead, Ceramic (Remote)",Full-time,"New York, NY (Remote)",https://jobs.lever.co/3box/48a64665-7d4c-4c8a-9c99-2c7739d87d2f,Others,talentre,Null,Not Posted,Not Posted
66,"Senior Data Analyst, Finance Reporting",Full-time,Salt Lake City - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501575002,Others,talentre,Null,Not Posted,Not Posted
67,FalconX - Senior Associate - Finance,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/falconx-senior-associate-finance-at-falconx-3405469848,Others,talentre,Null,Not Posted,Not Posted
68,"Software Engineer, Data (Remote)",Full-time,San Francisco Bay Area,https://jobs.lever.co/Kyro/04c23716-bd52-4a0e-9864-3d5a043e5cda,Engineering,talentre,Null,Not Posted,Not Posted
69,"Senior Security Engineer, Application Security",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501630002,Engineering,talentre,Null,Not Posted,Not Posted
70,"Senior Security Engineer, Application Security",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501630002,Engineering,talentre,Null,Not Posted,Not Posted
71,Security Engineer (Application),Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4020869005,Engineering,talentre,Null,Not Posted,Not Posted
72,React Native Developer,Full-time,Chandigarh,https://jobs.lever.co/Kyro/c746a775-fab9-4412-a10a-4dbf6142153a,Engineering,talentre,Null,Not Posted,Not Posted
73,"Senior Customer Success Manager, Capital Markets",Full-time,Phoenix - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501446002,Others,talentre,Null,Not Posted,Not Posted
74,Developer,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/developer-at-falconx-3420947919,Engineering,talentre,Null,Not Posted,Not Posted
75,Executive Assistant ,Full-time," San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4098874005,Others,talentre,Null,Not Posted,Not Posted
76,"Senior Counsel, Privacy & Data Protection",Full-time,Salt Lake City - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501015002,Others,talentre,Null,Not Posted,Not Posted
77,Full Stack Engineer,Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4020812005,Engineering,talentre,Null,Not Posted,Not Posted
78,Software Engineer (Data Infrastructure),Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4020786005,Engineering,talentre,Null,Not Posted,Not Posted
79,Senior Product Marketing Manager,Full-time,London,https://jobs.lever.co/merklescience/7707ad4b-4062-4a9b-bfb1-c8124089a4da,Marketing,talentre,Null,Not Posted,Not Posted
80,Motion Graphics Designer,Full-time,Anywhere,https://boards.greenhouse.io/woonetwork/jobs/5054179003,Finance,talentre,Null,Not Posted,Not Posted
81,Senior Software Engineer,Full-time,"London, New York",https://boards.greenhouse.io/firefly/jobs/4735737004,Engineering,talentre,Null,Not Posted,Not Posted
82,SDK Engineer (iOS),Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4033850005,Engineering,talentre,Null,Not Posted,Not Posted
83,"Lead Program Manager, Product",Full-time,Chicago - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6508067002,Others,talentre,Null,Not Posted,Not Posted
84,Lead Recruiter,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/lead-recruiter-at-falconx-3417674553,Others,talentre,Null,Not Posted,Not Posted
85,Senior Data Engineer,Full-time,Salt Lake City - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6500732002,Engineering,talentre,Null,Not Posted,Not Posted
86,Principal Software Engineer,Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6506736002,Engineering,talentre,Null,Not Posted,Not Posted
87,Senior Instructional Designer,Full-time,Salt Lake City - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6502026002,Others,talentre,Null,Not Posted,Not Posted
88,Software Engineer,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/software-engineer-at-falconx-3420951270,Engineering,talentre,Null,Not Posted,Not Posted
89,Software Development Engineer in Test (SDET) - NOT QA,Full-time,HQ,https://jobs.lever.co/TorusLabs/727ea00c-84c8-4bf1-bc2b-b577cee6a03b,Engineering,talentre,Null,Not Posted,Not Posted
90,"Senior Manager, Product Marketing, Enterprise and Partnerships",Full-time,Los Angeles - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6502045002,Others,talentre,Null,Not Posted,Not Posted
91,"Software Engineer, Blockchain",Full-time,"San Mateo, CA, US",https://www.linkedin.com/jobs/view/software-engineer-blockchain-at-falconx-3389145749,Engineering,talentre,Null,Not Posted,Not Posted
92,Quant Trading Assistant,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/quant-trading-assistant-at-falconx-3418527845,Others,talentre,Null,Not Posted,Not Posted
93,"Senior Accounting Manager, Investments & Digital Assets",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6500800002,Others,talentre,Null,Not Posted,Not Posted
94,Software Engineer - Distributed Systems,Full-time,"San Francisco, CA",https://boards.greenhouse.io/dfinity/jobs/4408999002,Engineering,talentre,Null,Not Posted,Not Posted
95,Technical Writer,Full-time,United States - Remote,https://boards.greenhouse.io/dfinity/jobs/6523216002,Others,talentre,Null,Not Posted,Not Posted
96,Trading Systems Developer,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/trading-systems-developer-at-falconx-3420953145,Engineering,talentre,Null,Not Posted,Not Posted
97,"Senior Manager, Product Marketing, Enterprise and Partnerships",Full-time,Los Angeles - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6502045002,Others,talentre,Null,Not Posted,Not Posted
98,"Senior Accounting Manager, Investments & Digital Assets",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6500800002,Others,talentre,Null,Not Posted,Not Posted
99,Finnova Backend Engineer ,Full-time,"Zürich, Switzerland",https://join.com/jobs/5169385-finnova-backend-engineer,Engineering,talentre,Null,Not Posted,Not Posted
100,Developer Relations Engineer,Full-time,"Zurich, CH",https://boards.greenhouse.io/dfinity/jobs/6459523002,Engineering,talentre,Null,Not Posted,Not Posted
101,Head of Developer Relations,Full-time,"Toronto, Ontario, Canada",https://kubelt.notion.site/Kubelt-Head-of-Developer-Relations-af222d5335e74d8abed900a12bc5f8f0,Others,talentre,Null,Not Posted,Not Posted
102,"Senior Software Engineer, Frontend",Full-time,Boston - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6508024002,Engineering,talentre,Null,Not Posted,Not Posted
103,"Senior Security Engineer, Application Security",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501630002,Engineering,talentre,Null,Not Posted,Not Posted
104,Lead Fullstack Developer,Full-time,,https://deversifi.com/open_positions/lead_fullstack_developer/,Engineering,talentre,Null,Not Posted,Not Posted
105,Application Security Engineer,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/application-security-engineer-at-falconx-3413118954,Engineering,talentre,Null,Not Posted,Not Posted
106,"Lead Security Engineer, Insider Threat and Investigations",Full-time,San Francisco - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6511206002,Engineering,talentre,Null,Not Posted,Not Posted
107,Senior Marketing Manager - Americas,Full-time,New York,https://jobs.lever.co/merklescience/d958c2a9-7f81-4366-a4d1-45e72172ed11,Marketing,talentre,Null,Not Posted,Not Posted
108,Site Reliability Engineer,Full-time,"San Mateo, CA, US",https://www.linkedin.com/jobs/view/site-reliability-engineer-at-falconx-3316515767,Engineering,talentre,Null,Not Posted,Not Posted
109,Principal Software Engineer,Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6506736002,Engineering,talentre,Null,Not Posted,Not Posted
110,"Lead Program Manager, Product",Full-time,Chicago - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6508067002,Others,talentre,Null,Not Posted,Not Posted
111,Senior Product Manager (Infura NFT),Full-time,"UNITED STATES - Remote, EMEA - Remote",https://consensys.net/open-roles/gh_jid?gh_jid=4635510,Others,talentre,Null,Not Posted,Not Posted
112,"Business Development Manager, Web3",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6498687002,Others,talentre,Null,Not Posted,Not Posted
113,Senior Product Manager,Full-time,Boston - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501718002,Others,talentre,Null,Not Posted,Not Posted
114,Backend Engineer,Full-time,"Zürich, Switzerland",https://join.com/jobs/4891274-backend-engineer,Engineering,talentre,Null,Not Posted,Not Posted
115,"Senior Manager, Product Marketing, Enterprise and Partnerships",Full-time,Los Angeles - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6502045002,Others,talentre,Null,Not Posted,Not Posted
116,"Business Development Manager, Web3",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6498687002,Others,talentre,Null,Not Posted,Not Posted
117,Senior Software Engineer,Full-time,"London, New York",https://boards.greenhouse.io/firefly/jobs/4735737004,Engineering,talentre,Null,Not Posted,Not Posted
118,Senior Backend Engineer,Full-time,"Singapore, Singapore, Singapore",https://apply.workable.com/j/5E2FE294C8,Engineering,talentre,Null,Not Posted,Not Posted
119,"Director, Data Engineering",Full-time,Boston - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6505216002,Engineering,talentre,Null,Not Posted,Not Posted
120,"Senior Manager, Product Marketing, Enterprise and Partnerships",Full-time,Los Angeles - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6502045002,Others,talentre,Null,Not Posted,Not Posted
121,"Business Development Manager, Capital Markets",Full-time,Miami - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6511276002,Others,talentre,Null,Not Posted,Not Posted
122,"Senior Data Analyst, Finance Reporting",Full-time,Salt Lake City - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501575002,Others,talentre,Null,Not Posted,Not Posted
123,"Director, Data Science",Full-time,Miami - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6512267002,Others,talentre,Null,Not Posted,Not Posted
124,"Business Development Manager, Web3",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6498687002,Others,talentre,Null,Not Posted,Not Posted
125,Blockchain Security Engineer - (Solidity / Rust / Golang - Senior Level),Full-time,"New York, NY  / Seattle, WA / San Francisco Bay Area, CA / Remote",https://jobs.lever.co/certik/e15a5a75-137f-4e37-a402-85079dd12b94,Engineering,talentre,Null,Not Posted,Not Posted
126,Junior Support Analyst,Full-time,"London, England, United Kingdom",https://www.careers-page.com/archax/job/L4R675X7,Finance,talentre,Null,Not Posted,Not Posted
127,"Senior Security Engineer, Application Security",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501630002,Engineering,talentre,Null,Not Posted,Not Posted
128,"Senior Accounting Manager, Investments & Digital Assets",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6500800002,Others,talentre,Null,Not Posted,Not Posted
129,Senior Software Engineer,Full-time,"London, New York",https://boards.greenhouse.io/firefly/jobs/4735737004,Engineering,talentre,Null,Not Posted,Not Posted
130,Data Infra Engineer,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/data-infra-engineer-at-falconx-3241616623,Engineering,talentre,Null,Not Posted,Not Posted
131,Sr. AML Officer,Full-time,Taipei,https://boards.greenhouse.io/woonetwork/jobs/4324095003,Finance,talentre,Null,Not Posted,Not Posted
132,Security Engineer (Cloud),Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4020870005,Engineering,talentre,Null,Not Posted,Not Posted
133,Senior Frontend Software Engineer,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/senior-frontend-software-engineer-at-falconx-3392555173,Engineering,talentre,Null,Not Posted,Not Posted
134,Social Media Manager,Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4027843005,Others,talentre,Null,Not Posted,Not Posted
135,Product Designer,Full-time,Bangalore,https://jobs.lever.co/merklescience/41a05f3d-c366-443a-bf30-b5ee784aead8,Others,talentre,Null,Not Posted,Not Posted
136,Senior UX Designer – Hong Kong ,Full-time,Hong Kong,https://coinflex.com/careers/senior-ux-designer-hong-kong/,Others,talentre,Null,Not Posted,Not Posted
137,Senior Backend Software Engineer,Full-time,"Bengaluru, IN",https://in.linkedin.com/jobs/view/senior-backend-software-engineer-at-falconx-3417458829,Engineering,talentre,Null,Not Posted,Not Posted
138,Product Marketing Manager,Full-time,"Remote, United States",https://boards.greenhouse.io/mythicalgames/jobs/5103542003,Marketing,talentre,Null,Not Posted,Not Posted
139,Senior Solidity Developer,Full-time,Anywhere,https://boards.greenhouse.io/woonetwork/jobs/4972410003,"Engineering,Finance",talentre,Null,Not Posted,Not Posted
140,"Infrastructure & Tooling Lead, Ecosystem Growth",Full-time,Remote,https://boards.greenhouse.io/parity/jobs/5368198003,Marketing,talentre,Null,Not Posted,Not Posted
141,"Senior Accounting Manager, Investments & Digital Assets",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6500800002,Others,talentre,Null,Not Posted,Not Posted
142,"Business Development Manager, Capital Markets",Full-time,Miami - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6511276002,Others,talentre,Null,Not Posted,Not Posted
143,"Business Development Manager, Web3",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6498687002,Others,talentre,Null,Not Posted,Not Posted
144,Principal Software Engineer,Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6506736002,Engineering,talentre,Null,Not Posted,Not Posted
145,Senior Technical Support Specialist,Full-time,Bangalore,https://jobs.lever.co/merklescience/34731fa7-550d-4e1c-b139-d93a2cf6ec19,Others,talentre,Null,Not Posted,Not Posted
146,Quant Researcher (Execution) - PROP - United States,Full-time,"United States, US",https://www.linkedin.com/jobs/view/quant-researcher-execution-prop-united-states-at-amber-group-3342708458,Finance,talentre,Null,Not Posted,Not Posted
147,"Principal Technical Writer, Developer and Ecosystem Marketing",Full-time,Boston - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6516238002,Marketing,talentre,Null,Not Posted,Not Posted
148,"Blockchain Core Developer - Golang, Ethereum",Full-time,London/Remote,https://boards.greenhouse.io/clearmatics/jobs/5589956002,Engineering,talentre,Null,Not Posted,Not Posted
149,"Business Development Manager, Capital Markets",Full-time,Miami - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6511276002,Others,talentre,Null,Not Posted,Not Posted
150,Senior Mobile Developer,Full-time,"Toronto, Ontario, Canada",https://kubelt.notion.site/Kubelt-Senior-Mobile-Developer-af23d3ea02f74a85accc082512d99fb6,Engineering,talentre,Null,Not Posted,Not Posted
151,"Senior Accounting Manager, Investments & Digital Assets",Full-time,Seattle - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6500800002,Others,talentre,Null,Not Posted,Not Posted
152,Senior Full Stack API Engineer (Infura NFT),Full-time,UNITED STATES - Remote,https://consensys.net/open-roles/gh_jid?gh_jid=4691403,Engineering,talentre,Null,Not Posted,Not Posted
153,"Business Development Manager, Capital Markets",Full-time,Miami - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6511276002,Others,talentre,Null,Not Posted,Not Posted
154,"Senior Data Analyst, Finance Reporting",Full-time,Salt Lake City - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6501575002,Others,talentre,Null,Not Posted,Not Posted
155,Security Engineer - Product Security,Full-time,United States (Remote),https://boards.greenhouse.io/blockdaemon/jobs/4675017004,Engineering,talentre,Null,Not Posted,Not Posted
156,"Director, Data Science",Full-time,Miami - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6512267002,Others,talentre,Null,Not Posted,Not Posted
157,"Senior Software Engineer, Frontend",Full-time,Boston - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6508024002,Engineering,talentre,Null,Not Posted,Not Posted
158,Jr. DevOps Developer,Full-time,,https://koii.network/jobs/?job=10,Engineering,talentre,Null,Not Posted,Not Posted
159,Data Science,Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4049497005,Others,talentre,Null,Not Posted,Not Posted
160,Account Executive,Full-time,"New York, New York, United States, San Francisco, California, United States",https://boards.greenhouse.io/alchemy/jobs/4027900005,Others,talentre,Null,Not Posted,Not Posted
